Food Name,Glycemic Index,Calories,Carbohydrates,Protein,Fat,Suitable for Diabetes,Suitable for Blood Pressure,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
Mushrooms,70,89,21.0,1.74,0.2,1,1,54,337,23,30,3.3
Kibbeh,15,260,15.0,10.0,18.0,1,1,318,250,22,330,2.0
Spinach Salad,0,106,0.0,23.31,1.0,1,1,63,429,22,12,0.0
Paneer Tikka,15,193,4.1,14.0,18.0,1,1,380,310,29,100,0.5
Vegetable Soup,10,280,45.0,15.0,4.2,1,1,580,450,38,100,5.0
Orange,70,300,46.0,8.0,12.0,1,1,585,322,30,49,4.0
Chia Seeds,0,884,0.0,15.2,89.07,1,1,16,0,1,2,0.0
Kabsa,50,441,40.0,18.45,16.0,1,1,30,470,15,35,4.1
Quinoa Pasta,39,52,12.0,0.3,0.2,1,1,1,107,9,6,2.4
Lamb,0,106,0.0,27.95,1.0,1,1,35,290,23,9,0.0
Zucchini,0,165,0.0,9.3,3.6,1,1,73,248,28,11,0.0
Oats,55,389,65.9,16.9,6.9,1,1,2,429,177,54,10.6
Celery,15,16,3.5,0.6,0.1,1,1,79,260,11,18,1.6
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,391,22,11,0.0
Greek Salad,64,133,30.0,5.3,0.8,1,1,10,164,79,25,4.2
Quinoa Salad,53,118,20.4,4.2,2.5,1,1,8,152,37,15,2.6
Lentils,32,352,61.6,20.04,1.0,1,1,2,747,36,45,27.6
Stir-Fried Tofu,55,239,40.0,5.0,4.0,1,1,520,70,28,25,2.0
Mushroom Soup,10,200,15.0,29.17,9.9,1,1,580,400,35,28,1.0
Butter Chicken,0,350,12.0,25.0,43.0,1,1,790,380,35,60,2.0
Cottage Cheese,10,98,3.4,11.1,4.3,1,1,364,104,7,83,0.0
Chana Masala,42,260,45.0,10.0,6.0,1,1,380,250,25,80,2.0
Avocado,15,160,9.0,2.0,14.7,1,1,7,485,29,12,6.7
Flaxseeds,0,501,28.9,18.3,86.6,1,1,30,400,392,255,0.0
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Gobi Manchurian,55,250,25.0,8.0,14.0,1,1,531,320,36,49,2.4
Stir-Fried Tofu,15,144,2.4,13.7,8.6,1,1,88,452,9,80,0.0
Brown Rice,15,25,5.3,1.9,0.3,1,1,30,299,15,22,2.0
Aloo Gobi,24,54,3.9,3.7,2.7,1,1,43,141,31,13,1.2
Kabsa,50,200,17.9,21.4,11.4,1,1,388,420,40,28,2.0
Lettuce,15,5,1.0,0.5,0.1,1,1,5,194,8,18,0.5
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Samosa,89,320,15.0,5.43,20.0,1,1,199,320,20,190,3.0
Turkey Breast,0,189,0.0,27.0,8.2,1,1,64,339,29,13,0.0
Dosa,64,250,30.0,5.0,12.0,1,1,380,240,20,119,2.0
Whole Wheat Bread,68,79,15.4,2.0,1.0,1,1,41,337,32,14,3.0
Apple,39,52,14.0,0.3,0.2,1,1,1,107,5,6,2.4
Artichokes,10,117,10.0,9.6,0.6,1,1,449,310,25,40,2.0
Zucchini Noodles,15,33,6.3,1.3,0.3,1,1,8,175,12,9,2.5
Cucumber,15,16,3.6,0.6,0.2,1,1,2,147,10,18,0.5
Blueberries,53,57,14.0,0.7,0.3,1,1,1,77,6,6,2.4
Pav,65,320,45.0,7.0,11.0,1,0,590,220,30,54,3.0
Turkey Chili,37,116,21.7,8.43,0.6,1,1,703,478,28,22,8.3
Fish Curry,0,220,10.0,25.0,11.0,1,1,580,380,30,40,2.0
Kibbeh,10,41,9.3,1.1,0.3,1,1,699,233,60,15,0.9
Salmon,0,206,0.0,22.0,13.0,1,1,47,380,29,14,0.0
Kale,0,184,0.0,7.24,8.2,1,1,63,280,21,40,0.0
Za'atar Manakish,50,350,55.0,16.9,6.0,1,1,659,429,35,57,3.0
Apple,39,52,14.0,0.3,0.2,1,1,1,107,5,6,2.4
Zucchini Noodles,15,17,3.1,1.2,0.2,1,1,2,261,12,16,0.5
Cabbage,10,25,5.8,1.3,0.1,1,1,8,170,12,47,2.0
Kibbeh,0,165,0.0,7.25,3.6,1,1,74,248,28,80,0.0
Pav,15,180,30.0,1.8,5.0,1,1,439,524,29,49,7.2
Brown Lentils,32,352,60.0,24.0,1.1,1,1,3,731,47,56,10.7
Peanuts,12,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Peanuts,12,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Spinach,0,23,3.6,0.5,0.4,1,1,79,170,12,8,0.0
Blueberries,59,69,18.0,0.72,0.2,1,1,2,191,11,10,0.9
Tomato Soup,37,116,27.0,4.0,13.6,1,1,50,160,79,423,0.0
Quinoa Pasta,39,52,14.0,0.3,0.2,1,1,0,107,9,6,2.4
Quinoa Pasta,40,41,10.0,0.9,0.2,1,1,69,320,12,33,2.8
Orange,40,61,16.0,1.2,0.2,1,1,0,181,10,52,3.1
Mushrooms,35,36,5.8,2.0,0.6,1,1,600,192,25,15,0.9
Quorn,0,258,10.0,28.0,13.0,1,1,620,299,34,40,3.0
Olive Oil,0,258,0.0,25.0,17.0,1,1,57,299,23,14,0.0
Gajar Halwa,85,265,38.0,7.7,12.0,1,1,585,320,44,190,2.0
Bhindi Masala,20,260,20.0,30.0,13.0,1,1,620,420,25,40,1.7
Vada Pav,83,450,50.0,25.0,18.55,1,1,30,470,15,119,4.1
Zucchini,15,17,3.1,1.2,0.2,1,1,3,295,18,16,1.0
Flaxseed Oil,0,280,5.0,25.0,18.0,1,1,780,438,33,60,1.0
Cucumber,15,16,3.6,0.7,0.1,1,1,2,76,7,16,0.5
Tomato Soup,37,116,21.7,8.43,0.6,1,1,703,460,28,22,3.0
Black Beans,30,350,62.4,21.82,1.0,1,1,6,747,119,56,27.6
Green Beans,15,31,7.1,1.8,0.2,1,1,6,358,36,14,1.2
Zucchini,0,648,21.6,21.2,87.4,1,1,1,705,269,263,15.7
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Sweet Potato,70,86,20.0,1.74,0.2,1,1,54,320,32,14,3.0
Turkey Breast,0,189,0.0,27.0,12.0,1,1,53,391,32,13,0.0
Mandi,45,41,10.0,26.08,0.2,1,1,122,7,1,0,0.0
Celery,15,16,3.5,0.6,0.1,1,1,79,260,11,18,1.6
Vegetable Soup,37,57,10.0,3.3,8.0,1,1,122,320,35,119,0.5
Quinoa Salad,53,118,20.4,4.2,2.5,1,1,8,152,37,16,2.6
Caprese Salad,15,280,45.0,15.0,4.2,1,1,580,450,42,100,5.0
Cabbage,10,25,5.8,1.3,0.1,1,1,18,170,12,40,2.2
Spinach,15,23,3.6,2.9,0.4,1,1,79,558,79,99,2.2
Apple,39,52,14.0,0.3,0.2,1,1,0,107,9,6,2.4
Pongal,10,73,7.2,9.6,0.4,1,1,479,310,30,40,1.5
Chicken Salad,0,359,10.0,24.0,43.0,1,1,790,400,40,100,2.0
Green Tea,0,290,14.0,9.0,22.0,1,1,585,479,30,419,4.0
Butter Chicken,0,350,10.0,25.0,20.0,1,1,893,380,35,49,2.0
Spinach,10,269,45.0,15.0,4.2,1,1,23,875,79,80,12.2
Kale,0,165,0.0,9.3,3.6,1,1,73,248,28,11,0.0
Mutton Curry,10,200,15.0,8.0,14.0,1,1,550,400,24,40,3.0
Green Tea,0,0,1.0,16.98,90.88,1,1,1,7,2,1,0.5
Chicken Shawarma,45,230,40.0,12.0,4.0,1,1,580,877,36,70,6.0
Bell Pepper,15,130,10.0,10.1,4.5,1,1,520,320,25,36,0.5
Lentils,32,230,39.9,17.9,1.0,1,1,2,731,36,19,27.6
Pongal,65,180,20.0,2.0,53.28,1,1,360,191,14,27,3.0
Shakshuka,0,265,2.0,24.0,21.0,1,1,480,61,22,15,0.4
Lentils,32,230,39.9,17.9,1.0,1,1,2,731,40,19,27.6
Garlic,30,149,33.1,6.4,2.7,1,1,16,354,25,181,2.1
Egg Whites,0,52,0.0,2.9,0.4,1,1,167,63,6,0,0.0
Blueberries,53,57,14.0,0.7,0.2,1,1,1,77,9,6,2.4
Oats,55,389,65.9,12.0,6.9,1,1,2,729,36,54,27.0
Turkey Breast,0,98,0.0,22.0,1.0,1,1,47,290,22,10,0.0
Paneer Butter Masala,55,220,30.0,5.0,10.0,1,1,620,240,60,80,5.0
Kabsa,0,0,0.0,16.98,61.41,1,1,1,7,1,2,0.0
Kidney Beans,53,61,14.7,1.1,0.5,1,1,2,312,27,34,3.0
Spinach Salad,37,57,10.0,0.9,8.0,1,1,69,320,35,33,2.0
Almond Butter,45,441,45.0,25.0,18.55,1,1,780,550,35,119,3.0
Grilled Chicken,40,81,15.4,5.0,68.59,1,0,133,160,29,13,4.1
Lamb,0,501,44.4,16.5,42.2,1,1,16,407,360,458,
Butter Chicken,0,359,12.0,28.0,43.3,1,1,0,0,35,12,0.0
Cucumber,15,16,3.6,0.7,0.2,1,1,2,147,12,16,0.5
Medu Vada,70,40,10.0,0.7,0.2,1,1,1,112,9,40,2.8
Zucchini,0,49,9.0,4.3,0.6,1,1,3,491,33,150,3.6
Fish Curry,0,280,10.0,12.0,21.0,1,1,550,479,30,419,3.0
Dahi Vada,85,180,20.0,4.0,8.0,1,1,95,150,15,104,1.0
Avocado Oil,0,120,0.0,3.98,13.6,1,1,0,0,0,0,0.0
Spinach,42,364,61.5,16.9,6.0,1,1,23,747,79,54,28.1
Pear,0,135,12.0,5.0,8.8,1,1,520,400,28,150,4.0
Rajma Chawal,27,339,60.1,21.0,1.1,1,1,2,1045,47,234,12.3
Greek Yogurt,11,59,3.6,10.0,0.4,1,1,36,118,12,117,0.0
Zucchini,0,574,28.9,18.3,22.23,1,1,7,705,119,92,12.2
Cauliflower,15,25,5.0,2.0,0.3,1,1,30,320,15,22,2.0
Cabbage,15,25,6.0,1.0,73.37,1,1,8,170,12,9,2.5
Chicken Biryani,50,400,45.0,20.0,16.0,1,1,721,479,35,60,2.0
Lentils,32,352,61.6,21.82,1.1,1,1,2,747,227,36,27.6
Aloo Gobi,24,559,30.2,18.2,49.02,1,1,12,565,292,36,3.3
Orange,40,61,15.0,1.2,0.2,1,1,0,181,14,52,3.1
Vegetable Biryani,25,559,30.2,18.2,43.9,1,1,12,749,292,36,11.8
Cauliflower,15,25,5.0,1.9,0.3,1,1,30,299,15,22,2.0
Asparagus,39,52,14.0,0.3,0.2,1,1,0,107,5,6,2.4
Brown Bread,89,260,26.0,5.0,12.0,1,0,370,214,30,25,4.0
Black Beans,30,341,62.4,21.0,1.2,1,1,2,1045,119,234,12.5
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,391,22,7,0.0
Kibbeh,72,380,40.0,15.0,22.0,1,0,820,350,30,89,8.0
Hummus,85,180,20.0,5.0,8.0,1,0,40,80,15,20,1.0
Veggie Burger,24,559,30.2,18.2,43.9,1,1,12,668,292,36,3.3
Butter Chicken,0,350,12.0,25.0,49.1,1,1,820,400,35,49,1.0
Onions,10,40,6.6,1.1,3.0,1,1,4,175,12,23,2.0
Rasam,24,60,15.0,3.7,0.6,1,1,449,110,31,118,6.0
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,37,18,7.9
Chole Bhature,50,380,50.0,10.0,16.0,1,0,560,300,30,80,8.0
Shahi Tukda,37,57,15.0,0.4,0.1,1,1,1,116,9,9,3.1
Mushrooms,10,22,3.3,3.1,0.3,1,1,5,318,9,3,2.2
Lettuce,0,574,20.0,3.0,49.2,1,1,820,441,59,42,2.0
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,37,18,7.9
Brown Rice,50,370,45.0,18.0,12.0,1,1,7,220,177,14,4.0
Labneh Manakish,0,150,10.0,2.0,12.0,1,1,179,213,20,30,4.0
Brown Rice,15,25,5.3,2.0,0.3,1,1,30,320,15,15,2.0
Orange,40,61,15.0,1.2,0.2,1,1,0,237,14,42,3.1
Zucchini,0,648,21.6,21.2,87.4,1,1,1,733,269,263,15.7
Hummus,9,170,10.0,22.2,6.7,1,1,690,400,39,28,0.0
Papdi Chaat,65,200,30.0,5.0,8.0,1,1,119,150,15,30,1.0
Vegetable Pulao,65,280,45.0,5.0,8.0,1,1,520,320,40,60,8.0
Lean Beef,0,250,0.0,26.0,17.0,1,1,54,391,22,11,0.0
Brown Lentils,32,352,59.7,24.0,1.1,1,1,3,417,47,14,27.9
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,36,18,7.9
Mango Pickle,35,320,55.0,15.0,6.0,1,1,449,310,42,80,8.0
Kale,0,206,0.0,2.12,13.0,1,1,73,210,20,11,0.0
Mandi,55,150,26.3,4.0,88.25,1,1,370,320,36,15,2.0
Lean Beef,0,250,0.0,26.0,17.0,1,1,54,391,22,7,0.0
Berries (Mixed),15,47,9.0,3.3,0.2,1,1,94,343,43,21,2.0
Chicken Biryani,50,400,45.0,28.0,15.0,1,1,820,320,30,49,2.0
Palak Paneer,15,239,8.0,15.0,17.0,1,1,620,729,38,670,10.2
Chicken 65,0,290,10.0,25.0,16.0,1,1,680,390,30,60,1.0
Turkey Breast,0,147,8.5,18.45,45.39,1,1,53,628,79,92,6.7
Apple,70,41,9.6,0.9,0.2,1,1,69,337,12,33,2.8
Gajar Halwa,70,79,14.5,2.9,1.0,1,1,2,100,24,20,2.0
Mansaf,40,230,20.0,2.3,16.0,1,1,14,263,32,16,3.3
Vegetable Biryani,46,260,32.0,6.0,12.0,1,1,374,346,30,150,2.0
Watermelon,71,30,7.6,0.6,0.2,1,1,1,112,10,8,0.4
Tuna,0,116,0.0,26.0,1.0,1,1,35,346,22,4,0.0
Quinoa Salad,53,118,20.4,4.2,2.5,1,1,8,152,64,19,2.6
Quinoa Salad,53,118,20.4,4.2,2.5,1,1,8,152,64,19,2.6
Bhindi Masala,15,150,2.4,25.0,10.0,1,1,593,250,33,18,0.4
Manakish,50,41,10.0,0.9,0.4,1,1,69,110,9,27,2.8
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Butter Chicken,0,359,10.0,24.0,43.3,1,1,820,320,40,40,0.0
Vegetable Pulao,65,320,50.0,7.0,11.0,1,1,560,320,30,40,4.0
Lamb Kabsa,0,320,8.0,15.45,22.0,1,1,620,420,30,670,8.3
Lettuce,10,5,0.9,0.5,0.1,1,1,5,141,6,18,0.5
Apple,39,52,14.0,0.3,0.2,1,1,0,107,5,6,2.4
Mutton Biryani,50,479,40.0,28.0,22.0,1,1,719,420,40,89,2.0
Blueberries,53,57,14.0,0.7,0.3,1,1,1,77,9,6,2.4
Rajasthani Dal,30,149,33.1,6.4,0.5,1,1,16,401,25,181,2.1
Samosa,89,247,35.0,10.0,12.0,1,0,363,214,61,80,8.0
Spinach,42,364,65.7,12.0,2.3,1,1,23,729,79,54,28.1
Strawberries,40,32,7.7,0.7,0.3,1,1,1,153,12,16,2.0
Gulab Jamun,65,150,17.0,2.0,23.98,1,1,70,191,25,27,1.4
Oats,55,153,26.3,2.7,23.98,1,1,2,320,27,25,4.0
Caesar Salad,15,157,10.0,2.0,12.0,1,1,246,210,20,30,4.0
Chia Seeds,0,119,4.5,14.0,2.0,1,1,8,330,59,9,0.0
Lentils,32,116,20.0,9.0,0.4,1,1,2,369,36,18,7.9
Mango,45,320,55.0,8.0,14.0,1,1,429,200,35,44,2.0
Quinoa Pasta,53,121,21.3,4.2,2.2,1,1,3,119,38,15,3.4
Lettuce,0,184,0.0,22.0,8.2,1,1,364,339,29,20,2.0
Kidney Beans,24,332,63.0,23.7,1.4,1,1,2,1042,157,234,10.7
Arayes,15,31,6.3,1.3,0.1,1,1,1,175,10,10,1.7
Lamb Kabsa,50,320,15.0,5.43,20.0,1,1,199,318,10,119,1.0
Avocado,15,160,9.0,2.0,14.7,1,1,7,485,29,12,7.0
Orange,55,118,20.4,4.2,2.5,1,1,8,105,38,16,3.4
Mushrooms,35,180,30.0,6.0,4.0,1,1,229,150,15,181,2.0
Lean Beef,0,250,0.0,26.0,17.0,1,1,53,380,20,10,0.0
Rasgulla,93,297,40.0,7.0,14.0,1,1,380,230,35,94,2.0
Matar Paneer,0,258,0.0,30.0,17.0,1,1,57,437,23,7,0.0
Paneer,75,230,20.0,5.0,14.0,1,0,249,75,14,92,1.0
Chicken Soup,0,280,5.0,25.0,18.55,1,1,620,390,33,20,1.0
Gulab Jamun,65,150,30.0,2.7,7.0,1,0,70,80,5,30,2.0
Samosa,89,260,35.0,10.0,12.0,1,0,580,320,38,70,8.0
Walnuts,15,654,13.7,15.2,89.07,1,1,2,441,157,98,6.7
Quinoa Pasta,53,121,25.0,4.2,2.2,1,1,3,119,38,16,3.4
Avocado,15,160,9.0,2.0,15.0,1,1,7,485,29,14,7.0
Peanuts,14,567,16.1,25.8,49.2,1,1,18,705,168,92,8.5
Almonds,0,206,0.0,7.24,13.0,1,1,73,485,32,150,0.0
Kadai Paneer,15,230,8.0,15.0,17.0,1,1,569,420,37,308,3.0
Labneh,4,150,12.0,10.0,0.5,1,1,279,401,59,40,7.8
Chicken 65,85,180,20.0,5.0,8.0,1,0,119,120,14,20,2.0
Watermelon,71,30,8.0,0.6,0.2,1,1,1,112,10,8,0.6
Cauliflower,15,25,5.3,1.9,0.3,1,1,30,299,15,22,2.0
Banana,0,180,2.0,25.0,8.0,1,1,380,410,25,23,1.0
Broccoli,15,55,11.2,4.2,0.6,1,1,33,316,21,47,3.3
Cauliflower,15,25,5.3,2.0,0.3,1,1,30,320,15,22,2.0
Malai Paneer,0,280,2.2,24.0,18.55,1,1,480,61,22,20,0.4
Chicken Korma,0,320,12.0,25.0,49.1,1,1,790,380,35,100,1.0
Mujadara,24,180,30.0,5.0,4.0,1,1,74,174,15,13,3.0
Vegetable Biryani,46,210,35.0,7.7,4.0,1,1,460,280,60,40,2.0
Mushroom Soup,49,180,35.0,1.0,10.0,1,1,360,318,20,25,0.0
Cabbage,15,25,6.0,1.0,0.2,1,1,2,229,18,9,2.1
Celery,15,16,3.5,0.7,0.1,1,1,79,260,11,11,1.6
Chia Seed Oil,40,239,40.0,10.0,0.8,1,1,1,401,40,54,0.0
Lamb,0,119,0.0,5.65,13.5,1,1,0,0,9,28,0.0
Garlic,30,89,8.0,4.0,0.6,1,1,117,151,10,47,1.0
Maamoul,0,250,0.0,18.0,15.0,1,1,57,380,25,14,0.0
Quinoa,53,120,21.3,4.4,1.9,1,1,5,172,69,17,2.8
Pork Tenderloin,0,143,0.0,30.0,3.0,1,1,50,437,35,9,0.0
Gulab Jamun,65,150,30.0,4.0,5.0,1,1,70,90,5,15,2.0
